model_name,task_label,dataset_name,method_id,display_name,level,layer_idx,stage,selected,selection_score,fdr,loo_accuracy,cv_accuracy,weight,mean_vote_weight,mean_margin,val_accuracy,shrinkage_alpha
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,17,mid,1,,,,,,0.002929367015167372,770.4558642578126,0.83,0.1604477453834474
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,3,early,1,,,,,,0.004840347625768118,1346.849267578125,0.82,0.10360053833226132
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,4,early,1,,,,,,0.005254979824239853,1444.989765625,0.81,0.06837143298285797
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,16,mid,1,,,,,,0.0031279123883359715,835.314541015625,0.81,0.15246796981294125
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,7,early,1,,,,,,0.007664416449770215,2106.56056640625,0.8,0.08175334999830672
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,7,early,1,,,,,,0.0072197880874591645,1962.565419921875,0.8,0.08692108822037721
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,3,early,1,,,,,,0.006662556904484518,1804.880302734375,0.8,0.10929964128805883
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,8,early,1,,,,,,0.005064115245950233,1375.1853564453124,0.8,0.07531175305844712
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,2,early,1,,,,,,0.004049942753881624,1099.8226513671875,0.8,0.13766988044776585
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,5,early,1,,,,,,0.00339056399436231,930.7192236328125,0.8,0.0824737170251056
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,6,early,1,,,,,,0.003056045831181109,813.351279296875,0.8,0.09668507446571874
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,4,early,1,,,,,,0.004524182502645999,1240.2202783203124,0.79,0.0656185607589964
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,1,early,1,,,,,,0.004050935910927364,1092.2453173828126,0.79,0.12433359557770259
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,2,early,1,,,,,,0.005094465121528629,1330.342802734375,0.78,0.12259328937544049
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,10,mid,1,,,,,,0.004905179446795955,1304.9191796875,0.78,0.102066473952232
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,10,mid,1,,,,,,0.004614128524481203,1223.686748046875,0.78,0.09243435891839592
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,1,early,1,,,,,,0.004410746941439356,1180.6666748046875,0.78,0.17162231717032345
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,4,early,1,,,,,,0.0040410650500211885,1099.8625244140626,0.78,0.05547839569296342
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,6,early,1,,,,,,0.0036842906909987506,991.332958984375,0.78,0.09587730826522176
